Country or territory of asylum or residence,Country or territory of origin,Year,Refugees,Refugees assisted by UNHCR,Total refugees and people in refugee-like situations,Total refugees and people in refugee-like situations assisted by UNHCR
Libya,Côte d'Ivoire,2016,1,1,1,1
Libya,Dem. Rep. of the Congo,2016,14,14,14,14
Libya,Egypt,2016,3,3,3,3
Libya,Eritrea,2016,437,437,437,437
Libya,Ethiopia,2016,22,22,22,22
Libya,Iraq,2016,2475,1475,2475,1475
Libya,Liberia,2016,22,22,22,22
Libya,Somalia,2016,164,164,164,164
Libya,State of Palestine,2016,5379,5379,5379,5379
Libya,Sudan,2016,626,626,626,626
Libya,Syrian Arab Rep.,2016,142,142,142,142
Liechtenstein,Algeria,2016,1,,1,
Liechtenstein,Armenia,2016,8,,8,
Liechtenstein,Bosnia and Herzegovina,2016,2,,2,
Liechtenstein,China,2016,11,,11,
Liechtenstein,Eritrea,2016,19,,19,
Liechtenstein,Ethiopia,2016,1,,1,
Liechtenstein,Iraq,2016,7,,7,
Liechtenstein,Islamic Rep. of Iran,2016,3,,3,
Liechtenstein,Serbia,2016,36,,36,
Liechtenstein,Somalia,2016,47,,47,
Liechtenstein,Syrian Arab Rep.,2016,23,,23,
Liechtenstein,Ukraine,2016,5,,5,
Lithuania,Afghanistan,2016,199,,199,
Lithuania,Armenia,2016,3,,3,
Lithuania,Azerbaijan,2016,3,,3,
Lithuania,Belarus,2016,33,,33,
Lithuania,Cameroon,2016,5,,5,
Lithuania,Côte d'Ivoire,2016,1,,1,
Lithuania,Cuba,2016,3,,3,
Lithuania,Dem. Rep. of the Congo,2016,1,,1,
Lithuania,Egypt,2016,1,,1,
Lithuania,Eritrea,2016,11,,11,
Lithuania,Ethiopia,2016,3,,3,
Lithuania,Georgia,2016,3,,3,
Lithuania,Iraq,2016,38,,38,
Lithuania,Islamic Rep. of Iran,2016,6,,6,
Lithuania,Israel,2016,2,,2,
Lithuania,Kazakhstan,2016,1,,1,
Lithuania,Nigeria,2016,4,,4,
Lithuania,Pakistan,2016,5,,5,
Lithuania,Russian Federation,2016,624,,624,
Lithuania,Somalia,2016,22,,22,
Lithuania,Sri Lanka,2016,9,,9,
Lithuania,Stateless,2016,9,,9,
Lithuania,Syrian Arab Rep.,2016,23,,23,
Lithuania,Tajikistan,2016,5,,5,
Lithuania,Togo,2016,1,,1,
Lithuania,Ukraine,2016,60,,60,
Lithuania,Uzbekistan,2016,15,,15,
Lithuania,Viet Nam,2016,1,,1,
Lithuania,Yemen,2016,1,,1,
Lithuania,Zimbabwe,2016,1,,1,
Luxembourg,Afghanistan,2016,43,,43,
Luxembourg,Albania,2016,82,,82,
Luxembourg,Algeria,2016,1,,1,
Luxembourg,Angola,2016,15,,15,
Luxembourg,Armenia,2016,6,,6,
Luxembourg,Azerbaijan,2016,15,,15,
Luxembourg,Bangladesh,2016,2,,2,
Luxembourg,Belarus,2016,7,,7,
Luxembourg,Bhutan,2016,3,,3,
Luxembourg,Bosnia and Herzegovina,2016,7,,7,
Luxembourg,Burkina Faso,2016,1,,1,
Luxembourg,Burundi,2016,2,,2,
Luxembourg,Cameroon,2016,12,,12,
Luxembourg,Central African Rep.,2016,1,,1,
Luxembourg,Chad,2016,2,,2,
Luxembourg,China,2016,4,,4,
Luxembourg,Congo,2016,5,,5,
Luxembourg,Costa Rica,2016,1,,1,
Luxembourg,Côte d'Ivoire,2016,6,,6,
Luxembourg,Dem. People's Rep. of Korea,2016,12,,12,
Luxembourg,Dem. Rep. of the Congo,2016,38,,38,
Luxembourg,Egypt,2016,5,,5,
Luxembourg,Eritrea,2016,79,,79,
Luxembourg,Ethiopia,2016,43,,43,
Luxembourg,Gabon,2016,4,,4,
Luxembourg,Gambia,2016,6,,6,
Luxembourg,Guinea,2016,10,,10,
Luxembourg,Iraq,2016,280,,280,
Luxembourg,Islamic Rep. of Iran,2016,148,,148,
Luxembourg,Kazakhstan,2016,1,,1,
Luxembourg,Lebanon,2016,2,,2,
Luxembourg,Libya,2016,5,,5,
Luxembourg,Mali,2016,2,,2,
Luxembourg,Mauritania,2016,1,,1,
Luxembourg,Mexico,2016,5,,5,
Luxembourg,Mongolia,2016,1,,1,
Luxembourg,Montenegro,2016,18,,18,
Luxembourg,Morocco,2016,1,,1,
Luxembourg,Nigeria,2016,10,,10,
Luxembourg,Pakistan,2016,1,,1,
Luxembourg,Peru,2016,3,,3,
Luxembourg,Rep. of Moldova,2016,2,,2,
Luxembourg,Russian Federation,2016,33,,33,
Luxembourg,Rwanda,2016,19,,19,
Luxembourg,Senegal,2016,2,,2,
Luxembourg,Serbia,2016,265,,265,
Luxembourg,Sierra Leone,2016,1,,1,
Luxembourg,Somalia,2016,44,,44,
Luxembourg,Sri Lanka,2016,5,,5,
Luxembourg,Stateless,2016,46,,46,
Luxembourg,Sudan,2016,2,,2,
Luxembourg,Syrian Arab Rep.,2016,686,,686,
Luxembourg,Tajikistan,2016,1,,1,
Luxembourg,The former Yugoslav Rep. of Macedonia,2016,1,,1,
Luxembourg,Togo,2016,5,,5,
Luxembourg,Tunisia,2016,4,,4,
Luxembourg,Turkey,2016,24,,24,
Luxembourg,Turkmenistan,2016,5,,5,
Luxembourg,Uganda,2016,1,,1,
Luxembourg,Ukraine,2016,6,,6,
Luxembourg,United Rep. of Tanzania,2016,2,,2,
Luxembourg,Uruguay,2016,1,,1,
Luxembourg,Uzbekistan,2016,1,,1,
Madagascar,Afghanistan,2016,1,1,1,1
Madagascar,Burundi,2016,2,2,2,2
Madagascar,Central African Rep.,2016,1,1,1,1
Madagascar,Dem. Rep. of the Congo,2016,1,1,1,1
Madagascar,Pakistan,2016,12,12,12,12
Madagascar,State of Palestine,2016,1,1,1,1
Madagascar,Yemen,2016,10,10,10,10
Malawi,Brazil,2016,2,2,2,2
Malawi,Burundi,2016,1642,1642,1642,1642
Malawi,Dem. Rep. of the Congo,2016,5444,5444,5444,5444
Malawi,Ethiopia,2016,5,5,5,5
Malawi,Rwanda,2016,2243,2243,2243,2243
Malawi,Somalia,2016,52,52,52,52
Malawi,South Sudan,2016,2,2,2,2
Malawi,Sudan,2016,1,1,1,1
Malawi,Zambia,2016,1,1,1,1
Malaysia,Afghanistan,2016,252,252,252,252
Malaysia,Algeria,2016,2,2,2,2
Malaysia,Bangladesh,2016,15,15,18,18
Malaysia,Bhutan,2016,1,1,1,1
Malaysia,Burundi,2016,1,1,1,1
Malaysia,Cambodia,2016,46,46,60,60
Malaysia,Cameroon,2016,1,1,1,1
Malaysia,China,2016,28,28,28,28
Malaysia,Côte d'Ivoire,2016,3,3,3,3
Malaysia,Dem. Rep. of the Congo,2016,2,2,2,2
Malaysia,Egypt,2016,4,4,4,4
Malaysia,Eritrea,2016,3,3,3,3
Malaysia,Ethiopia,2016,3,3,3,3
Malaysia,Fiji,2016,1,1,1,1
Malaysia,Guinea,2016,1,1,1,1
Malaysia,Indonesia,2016,617,617,779,779
Malaysia,Iraq,2016,472,472,472,472
Malaysia,Islamic Rep. of Iran,2016,220,220,220,220
Malaysia,Jordan,2016,2,2,2,2
Malaysia,Kenya,2016,,,1,1
Malaysia,Kuwait,2016,1,1,1,1
Malaysia,Lebanon,2016,5,5,5,5
Malaysia,Liberia,2016,10,10,10,10
Malaysia,Libya,2016,6,6,6,6
Malaysia,Mali,2016,3,3,3,3
Malaysia,Myanmar,2016,87029,87029,87036,87036
Malaysia,Nepal,2016,5,5,6,6
Malaysia,Nigeria,2016,2,2,6,6
Malaysia,Oman,2016,2,2,2,2
Malaysia,Pakistan,2016,617,617,619,619
Malaysia,Philippines,2016,5,5,15,15
Malaysia,Rep. of Moldova,2016,,,1,1
Malaysia,Russian Federation,2016,4,4,4,4
Malaysia,Saudi Arabia,2016,3,3,3,3
Malaysia,Sierra Leone,2016,3,3,3,3
Malaysia,Somalia,2016,729,729,729,729
Malaysia,South Sudan,2016,3,3,3,3
Malaysia,Sri Lanka,2016,1120,1120,1120,1120
Malaysia,State of Palestine,2016,245,245,245,245
Malaysia,Sudan,2016,56,56,56,56
Malaysia,Syrian Arab Rep.,2016,458,458,458,458
Malaysia,Thailand,2016,17,17,18,18
Malaysia,Tibetans,2016,2,2,2,2
Malaysia,Timor-Leste,2016,1,1,2,2
Malaysia,United States,2016,,,1,1
Malaysia,Viet Nam,2016,,,1,1
Malaysia,Yemen,2016,51,51,51,51
Malaysia,Zimbabwe,2016,3,3,3,3
Mali,Burundi,2016,8,8,8,8
Mali,Central African Rep.,2016,986,986,986,986
Mali,Chad,2016,7,7,7,7
Mali,Congo,2016,34,34,34,34
Mali,Côte d'Ivoire,2016,923,923,923,923
Mali,Dem. Rep. of the Congo,2016,204,204,204,204
Mali,Guinea,2016,1,1,1,1
Mali,Mauritania,2016,15298,15298,15298,15298
Mali,Pakistan,2016,14,14,14,14
Mali,Rwanda,2016,11,11,11,11
Mali,Syrian Arab Rep.,2016,11,11,11,11
Mali,Togo,2016,14,14,14,14
Mali,Tunisia,2016,1,1,1,1
Malta,Afghanistan,2016,1,,1,
Malta,Bangladesh,2016,8,,8,
Malta,Belarus,2016,9,,9,
Malta,Cameroon,2016,9,,9,
Malta,Chad,2016,3,,3,
Malta,China,2016,15,,15,
Malta,Côte d'Ivoire,2016,10,,10,
Malta,Czechia,2016,1,,1,
Malta,Dem. Rep. of the Congo,2016,3,,3,
Malta,Egypt,2016,67,,67,
Malta,Eritrea,2016,812,600,812,600
Malta,Ethiopia,2016,150,100,150,100
Malta,Gambia,2016,23,,23,
Malta,Georgia,2016,3,,3,
Malta,Ghana,2016,5,,5,
Malta,Guinea,2016,2,,2,
Malta,Guinea-Bissau,2016,1,,1,
Malta,India,2016,2,,2,
Malta,Iraq,2016,45,,45,
Malta,Islamic Rep. of Iran,2016,27,,27,
Malta,Jordan,2016,2,,2,
Malta,Kazakhstan,2016,1,,1,
Malta,Lebanon,2016,1,,1,
Malta,Liberia,2016,3,,3,
Malta,Libya,2016,2130,700,2130,700
Malta,Mali,2016,16,,16,
Malta,Morocco,2016,26,,26,
Malta,Myanmar,2016,1,,1,
Malta,Nepal,2016,1,,1,
Malta,Nigeria,2016,82,,82,
Malta,Pakistan,2016,51,,51,
Malta,Russian Federation,2016,12,,12,
Malta,Saudi Arabia,2016,1,,1,
Malta,Senegal,2016,3,,3,
Malta,Serbia,2016,6,,6,
Malta,Sierra Leone,2016,1,,1,
Malta,Somalia,2016,1724,1000,1724,1000
Malta,South Sudan,2016,22,,22,
Malta,Sri Lanka,2016,7,,7,
Malta,State of Palestine,2016,55,,55,
Malta,Stateless,2016,5,,5,
Malta,Sudan,2016,181,,181,
Malta,Syrian Arab Rep.,2016,1668,500,1668,500
Malta,The former Yugoslav Rep. of Macedonia,2016,4,,4,
Malta,Togo,2016,2,,2,
Malta,Tunisia,2016,12,,12,
Malta,Turkey,2016,4,,4,
Malta,Turkmenistan,2016,2,,2,
Malta,Ukraine,2016,109,,109,
Malta,Uzbekistan,2016,2,,2,
Malta,Various,2016,615,615,615,615
Malta,Venezuela (Bolivarian Republic of),2016,3,,3,
Mauritania,Angola,2016,1,1,1,1
Mauritania,Burundi,2016,4,4,4,4
Mauritania,Cameroon,2016,4,4,4,4
Mauritania,Central African Rep.,2016,528,528,528,528
Mauritania,Chad,2016,3,3,3,3
Mauritania,Congo,2016,4,4,4,4
Mauritania,Côte d'Ivoire,2016,261,261,261,261
Mauritania,Dem. Rep. of the Congo,2016,50,50,50,50
Mauritania,Ethiopia,2016,6,6,6,6
Mauritania,Gambia,2016,1,1,1,1
Mauritania,Guinea,2016,8,8,8,8
Mauritania,Iraq,2016,41,41,41,41
Mauritania,Lebanon,2016,2,2,2,2
Mauritania,Liberia,2016,1,1,1,1
Mauritania,Libya,2016,1,1,1,1
Mauritania,Mali,2016,46644,46644,46644,46644
Mauritania,Nigeria,2016,16,16,16,16
Mauritania,Rwanda,2016,2,2,2,2
Mauritania,Senegal,2016,53,53,53,53
Mauritania,Sierra Leone,2016,1,1,1,1
Mauritania,Somalia,2016,5,5,5,5
Mauritania,State of Palestine,2016,44,44,44,44
Mauritania,Sudan,2016,12,12,12,12
Mauritania,Syrian Arab Rep.,2016,417,417,417,417
Mauritania,Togo,2016,31,31,31,31
Mauritania,Ukraine,2016,3,3,3,3
Mauritania,Western Sahara,2016,1,1,26001,1
Mauritania,Yemen,2016,4,4,4,4
Mexico,Afghanistan,2016,2,,2,
Mexico,Albania,2016,8,,8,
Mexico,Algeria,2016,1,,1,
Mexico,Angola,2016,3,,3,
Mexico,Argentina,2016,1,1,1,1
Mexico,Bangladesh,2016,4,,4,
Mexico,Belize,2016,1,,1,
Mexico,Bolivia (Plurinational State of),2016,2,,2,
Mexico,Brazil,2016,1,,1,
Mexico,Burundi,2016,1,,1,
Mexico,Cameroon,2016,16,1,16,1
Mexico,Chile,2016,2,1,2,1
Mexico,China,2016,5,,5,
Mexico,Colombia,2016,276,7,276,7
Mexico,Congo,2016,18,3,18,3
Mexico,Côte d'Ivoire,2016,4,,4,
Mexico,Cuba,2016,47,,47,
Mexico,Dem. Rep. of the Congo,2016,70,,70,
Mexico,Dominican Rep.,2016,9,,9,
Mexico,Ecuador,2016,2,,2,
Mexico,Egypt,2016,3,,3,
Mexico,El Salvador,2016,2366,349,2366,349
Mexico,Eritrea,2016,7,,7,
Mexico,Ethiopia,2016,7,,7,
Mexico,Ghana,2016,5,,5,
Mexico,Guatemala,2016,509,34,509,34
Mexico,Guinea,2016,1,1,1,1
Mexico,Haiti,2016,180,,180,
Mexico,Honduras,2016,2126,416,2126,416
Mexico,India,2016,10,,10,
Mexico,Indonesia,2016,1,,1,
Mexico,Iraq,2016,42,3,42,3
Mexico,Islamic Rep. of Iran,2016,27,,27,
Mexico,Jamaica,2016,2,1,2,1
Mexico,Jordan,2016,1,1,1,1
Mexico,Lebanon,2016,1,,1,
Mexico,Libya,2016,1,,1,
Mexico,Morocco,2016,2,1,2,1
Mexico,Nicaragua,2016,26,6,26,6
Mexico,Nigeria,2016,25,2,25,2
Mexico,Pakistan,2016,6,,6,
Mexico,Panama,2016,1,,1,
Mexico,Peru,2016,11,,11,
Mexico,Romania,2016,7,,7,
Mexico,Russian Federation,2016,18,2,18,2
Mexico,Rwanda,2016,1,,1,
Mexico,Serbia,2016,2,,2,
Mexico,Sierra Leone,2016,2,,2,
Mexico,Somalia,2016,1,,1,
Mexico,South Africa,2016,1,,1,
Mexico,Sri Lanka,2016,19,,19,
Mexico,State of Palestine,2016,3,,3,
Mexico,Syrian Arab Rep.,2016,23,2,23,2
Mexico,The former Yugoslav Rep. of Macedonia,2016,1,,1,
Mexico,Turkey,2016,6,,6,
Mexico,Ukraine,2016,6,,6,
Mexico,United States,2016,1,,1,
Mexico,Venezuela (Bolivarian Republic of),2016,278,35,278,35
Micronesia (Federated States of),Nepal,2016,4,4,4,4
Monaco,Various,2016,32,,32,
Mongolia,Afghanistan,2016,4,4,4,4
Mongolia,China,2016,3,3,3,3
Mongolia,Yemen,2016,1,1,1,1
Montenegro,Belarus,2016,1,,1,
Montenegro,Bosnia and Herzegovina,2016,38,21,38,21
Montenegro,Croatia,2016,24,17,24,17
Montenegro,Cuba,2016,7,7,7,7
Montenegro,Morocco,2016,1,1,1,1
Montenegro,Serbia,2016,883,664,883,664
Montenegro,Syrian Arab Rep.,2016,10,10,10,10
Montenegro,Ukraine,2016,2,2,2,2
Montenegro,Yemen,2016,8,6,8,6
Morocco,Afghanistan,2016,2,2,2,2
Morocco,Algeria,2016,4,4,4,4
Morocco,Angola,2016,2,2,2,2
Morocco,Azerbaijan,2016,1,1,1,1
Morocco,Bosnia and Herzegovina,2016,1,1,1,1
Morocco,Burkina Faso,2016,1,1,1,1
Morocco,Burundi,2016,1,1,1,1
Morocco,Cameroon,2016,65,65,65,65
Morocco,Central African Rep.,2016,173,173,173,173
Morocco,Chad,2016,2,2,2,2
Morocco,China,2016,1,1,1,1
Morocco,Congo,2016,12,12,12,12
Morocco,Côte d'Ivoire,2016,292,292,292,292
Morocco,Dem. Rep. of the Congo,2016,176,176,176,176
Morocco,Equatorial Guinea,2016,1,1,1,1
Morocco,Eritrea,2016,1,1,1,1
Morocco,Gambia,2016,3,3,3,3
Morocco,Guinea,2016,26,26,26,26
Morocco,Iraq,2016,137,137,137,137
Morocco,Liberia,2016,4,4,4,4
Morocco,Libya,2016,16,16,16,16
Morocco,Mali,2016,14,14,14,14
Morocco,Niger,2016,3,3,3,3
Morocco,Nigeria,2016,8,8,8,8
Morocco,Pakistan,2016,5,5,5,5
Morocco,Senegal,2016,35,35,35,35
Morocco,State of Palestine,2016,51,51,51,51
Morocco,Sudan,2016,4,4,4,4
Morocco,Syrian Arab Rep.,2016,3242,3242,3242,3242
Morocco,Togo,2016,1,1,1,1
Morocco,Tunisia,2016,2,2,2,2
Morocco,Yemen,2016,485,485,485,485
Mozambique,Angola,2016,2,2,2,2
Mozambique,Burundi,2016,991,291,991,291
Mozambique,Congo,2016,11,8,11,8
Mozambique,Dem. Rep. of the Congo,2016,2729,2182,2729,2182
Mozambique,Ethiopia,2016,2,2,2,2
Mozambique,Rwanda,2016,787,172,787,172
Mozambique,Somalia,2016,145,1,145,1
Mozambique,Sudan,2016,2,,2,
Mozambique,Uganda,2016,2,,2,
Namibia,Burundi,2016,229,229,229,229
Namibia,Cameroon,2016,6,6,6,6
Namibia,Central African Rep.,2016,2,2,2,2
Namibia,Congo,2016,2,2,2,2
Namibia,Dem. Rep. of the Congo,2016,1322,1322,1322,1322
Namibia,Eritrea,2016,2,2,2,2
Namibia,Ethiopia,2016,6,6,6,6
Namibia,Kenya,2016,1,1,1,1
Namibia,Nigeria,2016,1,1,1,1
Namibia,Rwanda,2016,122,122,122,122
Namibia,Somalia,2016,9,9,9,9
Namibia,South Sudan,2016,1,1,1,1
Namibia,Uganda,2016,5,5,5,5
Namibia,Ukraine,2016,1,1,1,1
Namibia,Zimbabwe,2016,48,48,48,48
Nauru,Afghanistan,2016,41,,41,
Nauru,Bangladesh,2016,4,,4,
Nauru,Egypt,2016,1,,1,
Nauru,Ethiopia,2016,1,,1,
Nauru,Indonesia,2016,3,,3,
Nauru,Iraq,2016,19,,19,
Nauru,Islamic Rep. of Iran,2016,191,,191,
Nauru,Lebanon,2016,10,,10,
Nauru,Myanmar,2016,4,,4,
Nauru,Nepal,2016,3,,3,
Nauru,Pakistan,2016,71,,71,
Nauru,Somalia,2016,60,,60,
Nauru,Sri Lanka,2016,5,,5,
Nauru,Stateless,2016,78,,78,
Nauru,Sudan,2016,13,,13,
Nauru,Syrian Arab Rep.,2016,2,,2,
Nepal,Afghanistan,2016,59,59,59,59
Nepal,Bangladesh,2016,12,12,12,12
Nepal,Bhutan,2016,11213,10447,11213,10447
Nepal,Dem. Rep. of the Congo,2016,3,3,3,3
Nepal,Iraq,2016,2,2,2,2
Nepal,Islamic Rep. of Iran,2016,5,5,5,5
Nepal,Myanmar,2016,150,150,150,150
Nepal,Pakistan,2016,257,257,257,257
Nepal,Somalia,2016,17,17,17,17
Nepal,Sri Lanka,2016,22,22,22,22
Nepal,Tibetans,2016,13509,13509,13509,13509
Netherlands,Afghanistan,2016,5791,,5791,
Netherlands,Albania,2016,8,,8,
Netherlands,Algeria,2016,20,,20,
Netherlands,Angola,2016,87,,87,
Netherlands,Argentina,2016,5,,5,
Netherlands,Armenia,2016,457,,457,
Netherlands,Azerbaijan,2016,317,,317,
Netherlands,Bahrain,2016,2,,2,
Netherlands,Bangladesh,2016,43,,43,
Netherlands,Belarus,2016,73,,73,
Netherlands,Benin,2016,6,,6,
Netherlands,Bhutan,2016,190,,190,
Netherlands,Bosnia and Herzegovina,2016,34,,34,
Netherlands,Botswana,2016,1,,1,
Netherlands,Brazil,2016,1,,1,
Netherlands,Burkina Faso,2016,14,,14,
Netherlands,Burundi,2016,397,,397,
Netherlands,Cambodia,2016,31,,31,
Netherlands,Cameroon,2016,90,,90,
Netherlands,Central African Rep.,2016,7,,7,
Netherlands,Chad,2016,5,,5,
Netherlands,China,2016,1140,,1140,
Netherlands,Colombia,2016,69,,69,
Netherlands,Congo,2016,522,,522,
Netherlands,Côte d'Ivoire,2016,403,,403,
Netherlands,Cuba,2016,15,,15,
Netherlands,Dem. People's Rep. of Korea,2016,55,,55,
Netherlands,Dem. Rep. of the Congo,2016,360,,360,
Netherlands,Ecuador,2016,8,,8,
Netherlands,Egypt,2016,199,,199,
Netherlands,El Salvador,2016,2,,2,
Netherlands,Eritrea,2016,13488,,13488,
Netherlands,Ethiopia,2016,657,,657,
Netherlands,Gambia,2016,42,,42,
Netherlands,Georgia,2016,53,,53,
Netherlands,Ghana,2016,6,,6,
Netherlands,Guinea,2016,731,,731,
Netherlands,Guinea-Bissau,2016,2,,2,
Netherlands,Guyana,2016,1,,1,
Netherlands,Haiti,2016,1,,1,
Netherlands,Honduras,2016,7,,7,
Netherlands,India,2016,7,,7,
Netherlands,Indonesia,2016,1,,1,
Netherlands,Iraq,2016,12740,,12740,
Netherlands,Islamic Rep. of Iran,2016,4244,,4244,
Netherlands,Israel,2016,2,,2,
Netherlands,Jamaica,2016,174,,174,
Netherlands,Japan,2016,1,,1,
Netherlands,Jordan,2016,19,,19,
Netherlands,Kazakhstan,2016,49,,49,
Netherlands,Kenya,2016,39,,39,
Netherlands,Kuwait,2016,5,,5,
Netherlands,Kyrgyzstan,2016,27,,27,
Netherlands,Lao People's Dem. Rep.,2016,33,,33,
Netherlands,Lebanon,2016,32,,32,
Netherlands,Liberia,2016,147,,147,
Netherlands,Libya,2016,335,,335,
Netherlands,Malawi,2016,3,,3,
Netherlands,Malaysia,2016,7,,7,
Netherlands,Mali,2016,19,,19,
Netherlands,Mauritania,2016,8,,8,
Netherlands,Mexico,2016,2,,2,
Netherlands,Mongolia,2016,43,,43,
Netherlands,Montenegro,2016,2,,2,
Netherlands,Morocco,2016,34,,34,
Netherlands,Myanmar,2016,803,,803,
Netherlands,Namibia,2016,4,,4,
Netherlands,Nepal,2016,367,,367,
Netherlands,Niger,2016,14,,14,
Netherlands,Nigeria,2016,296,,296,
Netherlands,Norway,2016,1,,1,
Netherlands,Pakistan,2016,392,,392,
Netherlands,Panama,2016,1,,1,
Netherlands,Peru,2016,9,,9,
Netherlands,Rep. of Moldova,2016,4,,4,
Netherlands,Russian Federation,2016,311,,311,
Netherlands,Rwanda,2016,87,,87,
Netherlands,Saudi Arabia,2016,13,,13,
Netherlands,Senegal,2016,30,,30,
Netherlands,Serbia,2016,68,,68,
Netherlands,Sierra Leone,2016,602,,602,
Netherlands,Somalia,2016,16512,,16512,
Netherlands,South Africa,2016,3,,3,
Netherlands,Sri Lanka,2016,706,,706,
Netherlands,State of Palestine,2016,171,,171,
Netherlands,Stateless,2016,5264,,5264,
Netherlands,Sudan,2016,759,,759,
Netherlands,Swaziland,2016,1,,1,
Netherlands,Switzerland,2016,1,,1,
Netherlands,Syrian Arab Rep.,2016,28394,,28394,
Netherlands,Tajikistan,2016,37,,37,
Netherlands,The former Yugoslav Rep. of Macedonia,2016,1,,1,
Netherlands,Togo,2016,50,,50,
Netherlands,Trinidad and Tobago,2016,40,,40,
Netherlands,Tunisia,2016,19,,19,
Netherlands,Turkey,2016,232,,232,
Netherlands,Turkmenistan,2016,3,,3,
Netherlands,Tuvalu,2016,1,,1,
Netherlands,Uganda,2016,504,,504,
Netherlands,Ukraine,2016,32,,32,
Netherlands,United Rep. of Tanzania,2016,6,,6,
Netherlands,United States,2016,1,,1,
Netherlands,Uzbekistan,2016,98,,98,
Netherlands,Various,2016,2457,,2457,
Netherlands,Viet Nam,2016,9,,9,
Netherlands,Yemen,2016,79,,79,
Netherlands,Zambia,2016,8,,8,
Netherlands,Zimbabwe,2016,41,,41,
New Zealand,Afghanistan,2016,41,,41,
New Zealand,Albania,2016,1,,1,
New Zealand,Algeria,2016,6,,6,
New Zealand,Bahrain,2016,23,,23,
New Zealand,Bangladesh,2016,6,,6,
New Zealand,Belarus,2016,2,,2,
New Zealand,Bolivia (Plurinational State of),2016,1,,1,
New Zealand,Cameroon,2016,4,,4,
New Zealand,Chad,2016,2,,2,
New Zealand,Chile,2016,3,,3,
New Zealand,China,2016,144,,144,
New Zealand,Colombia,2016,24,,24,
New Zealand,Congo,2016,4,,4,
New Zealand,Cuba,2016,1,,1,
New Zealand,Czechia,2016,17,,17,
New Zealand,Dem. Rep. of the Congo,2016,3,,3,
New Zealand,Egypt,2016,27,,27,
New Zealand,El Salvador,2016,4,,4,
New Zealand,Eritrea,2016,5,,5,
New Zealand,Ethiopia,2016,8,,8,
New Zealand,Fiji,2016,28,,28,
New Zealand,Hungary,2016,8,,8,
New Zealand,India,2016,4,,4,
New Zealand,Indonesia,2016,2,,2,
New Zealand,Iraq,2016,146,,146,
New Zealand,Islamic Rep. of Iran,2016,164,,164,
New Zealand,Israel,2016,3,,3,
New Zealand,Japan,2016,1,,1,
New Zealand,Jordan,2016,2,,2,
New Zealand,Kazakhstan,2016,1,,1,
New Zealand,Kenya,2016,2,,2,
New Zealand,Kuwait,2016,7,,7,
New Zealand,Kyrgyzstan,2016,5,,5,
New Zealand,Lebanon,2016,2,,2,
New Zealand,Libya,2016,16,,16,
New Zealand,Madagascar,2016,4,,4,
New Zealand,Malaysia,2016,5,,5,
New Zealand,Maldives,2016,4,,4,
New Zealand,Mexico,2016,4,,4,
New Zealand,Mongolia,2016,1,,1,
New Zealand,Myanmar,2016,16,,16,
New Zealand,Nepal,2016,7,,7,
New Zealand,Nigeria,2016,2,,2,
New Zealand,Pakistan,2016,63,,63,
New Zealand,Papua New Guinea,2016,3,,3,
New Zealand,Rep. of Korea,2016,1,,1,
New Zealand,Russian Federation,2016,5,,5,
New Zealand,Rwanda,2016,1,,1,
New Zealand,Saudi Arabia,2016,49,,49,
New Zealand,Slovakia,2016,5,,5,
New Zealand,Somalia,2016,18,,18,
New Zealand,South Africa,2016,10,,10,
New Zealand,Sri Lanka,2016,91,,91,
New Zealand,State of Palestine,2016,14,,14,
New Zealand,Stateless,2016,2,,2,
New Zealand,Sudan,2016,9,,9,
New Zealand,Syrian Arab Rep.,2016,61,,61,
New Zealand,Thailand,2016,1,,1,
New Zealand,Turkey,2016,38,,38,
New Zealand,Uganda,2016,3,,3,
New Zealand,Ukraine,2016,1,,1,
New Zealand,Uzbekistan,2016,2,,2,
New Zealand,Various,2016,240,,240,
New Zealand,Viet Nam,2016,8,,8,
New Zealand,Yemen,2016,2,,2,
New Zealand,Zimbabwe,2016,34,,34,
Nicaragua,Central African Rep.,2016,1,1,1,1
Nicaragua,Colombia,2016,6,,6,
Nicaragua,Costa Rica,2016,1,1,1,1
Nicaragua,Cuba,2016,15,13,15,13
Nicaragua,Dominican Rep.,2016,1,1,1,1
Nicaragua,El Salvador,2016,220,176,220,176
Nicaragua,Guatemala,2016,10,6,10,6
Nicaragua,Honduras,2016,74,35,74,35
Nicaragua,Peru,2016,2,,2,
Nicaragua,Russian Federation,2016,1,1,1,1
Niger,Burundi,2016,1,1,1,1
Niger,Cameroon,2016,6,6,6,6
Niger,Central African Rep.,2016,67,67,67,67
Niger,Chad,2016,165,165,165,165
Niger,Congo,2016,3,3,3,3
Niger,Côte d'Ivoire,2016,55,55,55,55
Niger,Dem. Rep. of the Congo,2016,73,73,73,73
Niger,Iraq,2016,6,6,6,6
Niger,Islamic Rep. of Iran,2016,1,1,1,1
Niger,Liberia,2016,2,2,2,2
Niger,Libya,2016,6,6,6,6
Niger,Mali,2016,60154,60154,60154,60154
Niger,Nigeria,2016,105501,105501,105501,105501
Niger,Rwanda,2016,26,26,26,26
Niger,Somalia,2016,9,9,9,9
Niger,Sudan,2016,9,9,9,9
Niger,Syrian Arab Rep.,2016,7,7,7,7
Niger,Togo,2016,2,2,2,2
